<p>|Medications to continue through surgery|Dosing interval|Recommended timing of surgery since last medication dose|
|---|---|---|
|DMARDs: continue these medications through surgery (all patients)| | |
|Methotrexate|Weekly|Anytime|
|Sulfasalazine|Once or twice daily|Anytime|
|Hydroxychloroquine|Once or twice daily|Anytime|
|Leﬂunomide (Arava)|Daily|Anytime|
|Doxycycline|Daily|Anytime|
|Apremilast (Otezla)|Twice daily†|Anytime†|
|Severe SLE-speciﬁc medications: continue these medications in the perioperative period in consultation with the treating rheumatologist‡| | |
|Mycophenolate mofetil|Twice daily|Anytime|
|Azathioprine|Daily or twice daily|Anytime|
|Cyclosporine|Twice daily|Anytime|
|Tacrolimus|Twice daily (IV and PO)|Anytime|
|Rituximab (Rituxan)|IV every 4–6 months†|Month 4–6†|
|Belimumab SC (Benlysta)|Weekly†|Anytime†|
|Belimumab IV (Benlysta)|Monthly†|Week 4†|
|Anifrolumab (Saphnelo)§|IV every 4 weeks†|Week 4†|
|Voclosporin (Lupkynis)§|Twice daily†|Continue†|
